U+2A967 	𪥧
U+2A968 	𪥨
U+2A969 	𪥩
U+2A96A 	𪥪
U+2A96B 	𪥫
U+2A96C 	𪥬
U+2A96D 	𪥭
U+2A96E 	𪥮
U+2A96F 	𪥯
U+2A970 	𪥰
U+2A971 	𪥱
U+2A972 	𪥲
U+2A973 	𪥳
U+2A974 	𪥴
U+2A975 	𪥵
U+2A976 	𪥶
U+2A977 	𪥷
U+2A978 	𪥸
U+2A979 	𪥹
U+2A97A 	𪥺
U+2A97B 	𪥻
U+2A97C 	𪥼
U+2A97D 	𪥽
U+2A97E 	𪥾
U+2A97F 	𪥿
U+2A980 	𪦀
U+2A981 	𪦁
U+2A982 	𪦂
U+2A983 	𪦃
U+2A984 	𪦄
U+2A985 	𪦅
U+2A986 	𪦆
U+2A987 	𪦇
U+2A988 	𪦈
U+2A989 	𪦉
U+2A98A 	𪦊
U+2A98B 	𪦋
U+2A98C 	𪦌
U+2A98D 	𪦍
U+2A98E 	𪦎
U+2A98F 	𪦏
U+2A990 	𪦐
U+2A991 	𪦑
U+2A992 	𪦒
U+2A993 	𪦓
U+2A994 	𪦔
U+2A995 	𪦕
U+2A996 	𪦖
U+2A997 	𪦗
U+2A998 	𪦘
U+2A999 	𪦙
U+2A99A 	𪦚
U+2A99B 	𪦛
U+2A99C 	𪦜
U+2A99D 	𪦝
U+2A99E 	𪦞
U+2A99F 	𪦟
U+2A9A0 	𪦠
U+2A9A1 	𪦡
U+2A9A2 	𪦢
U+2A9A3 	𪦣
U+2A9A4 	𪦤
U+2A9A5 	𪦥
U+2A9A6 	𪦦
U+2A9A7 	𪦧
U+2A9A8 	𪦨
U+2A9A9 	𪦩
U+2A9AA 	𪦪
U+2A9AB 	𪦫
U+2A9AC 	𪦬
U+2A9AD 	𪦭
U+2A9AE 	𪦮
U+2A9AF 	𪦯
U+2A9B0 	𪦰
U+2A9B1 	𪦱
U+2A9B2 	𪦲
U+2A9B3 	𪦳
U+2A9B4 	𪦴
U+2A9B5 	𪦵
U+2A9B6 	𪦶
U+2A9B7 	𪦷
U+2A9B8 	𪦸
U+2A9B9 	𪦹
U+2A9BA 	𪦺
U+2A9BB 	𪦻
U+2A9BC 	𪦼
U+2A9BD 	𪦽
U+2A9BE 	𪦾
U+2A9BF 	𪦿
U+2A9C0 	𪧀
U+2A9C1 	𪧁
U+2A9C2 	𪧂
U+2A9C3 	𪧃
U+2A9C4 	𪧄
U+2A9C5 	𪧅
U+2A9C6 	𪧆
U+2A9C7 	𪧇
U+2A9C8 	𪧈
U+2A9C9 	𪧉
U+2A9CA 	𪧊
U+2A9CB 	𪧋
U+2A9CC 	𪧌
U+2A9CD 	𪧍
U+2A9CE 	𪧎
U+2A9CF 	𪧏
U+2A9D0 	𪧐
U+2A9D1 	𪧑
U+2A9D2 	𪧒
U+2A9D3 	𪧓
U+2A9D4 	𪧔
U+2A9D5 	𪧕
U+2A9D6 	𪧖
U+2A9D7 	𪧗
U+2A9D8 	𪧘
U+2A9D9 	𪧙
U+2A9DA 	𪧚
U+2A9DB 	𪧛
U+2A9DC 	𪧜
U+2A9DD 	𪧝
U+2A9DE 	𪧞
U+2A9DF 	𪧟
U+2A9E0 	𪧠
U+2A9E1 	𪧡
U+2A9E2 	𪧢
U+2A9E3 	𪧣
U+2A9E4 	𪧤
U+2A9E5 	𪧥
U+2A9E6 	𪧦
U+2A9E7 	𪧧
U+2A9E8 	𪧨
U+2A9E9 	𪧩
U+2A9EA 	𪧪
U+2A9EB 	𪧫
U+2A9EC 	𪧬
U+2A9ED 	𪧭
U+2A9EE 	𪧮
U+2A9EF 	𪧯
U+2A9F0 	𪧰
U+2A9F1 	𪧱
U+2A9F2 	𪧲
U+2A9F3 	𪧳
U+2A9F4 	𪧴
U+2A9F5 	𪧵
U+2A9F6 	𪧶
U+2A9F7 	𪧷
U+2A9F8 	𪧸
U+2A9F9 	𪧹
U+2A9FA 	𪧺
U+2A9FB 	𪧻
U+2A9FC 	𪧼
U+2A9FD 	𪧽
U+2A9FE 	𪧾
U+2A9FF 	𪧿
U+2AA00 	𪨀
U+2AA01 	𪨁
U+2AA02 	𪨂
U+2AA03 	𪨃
U+2AA04 	𪨄
U+2AA05 	𪨅
U+2AA06 	𪨆
U+2AA07 	𪨇
U+2AA08 	𪨈
U+2AA09 	𪨉
U+2AA0A 	𪨊
U+2AA0B 	𪨋
U+2AA0C 	𪨌
U+2AA0D 	𪨍
U+2AA0E 	𪨎
U+2AA0F 	𪨏
U+2AA10 	𪨐
U+2AA11 	𪨑
U+2AA12 	𪨒
U+2AA13 	𪨓
U+2AA14 	𪨔
U+2AA15 	𪨕
U+2AA16 	𪨖
U+2AA17 	𪨗
U+2AA18 	𪨘
U+2AA19 	𪨙
U+2AA1A 	𪨚
U+2AA1B 	𪨛
U+2AA1C 	𪨜
U+2AA1D 	𪨝
U+2AA1E 	𪨞
U+2AA1F 	𪨟
U+2AA20 	𪨠
U+2AA21 	𪨡
U+2AA22 	𪨢
U+2AA23 	𪨣
U+2AA24 	𪨤
U+2AA25 	𪨥
U+2AA26 	𪨦
U+2AA27 	𪨧
U+2AA28 	𪨨
U+2AA29 	𪨩
U+2AA2A 	𪨪
U+2AA2B 	𪨫
U+2AA2C 	𪨬
U+2AA2D 	𪨭
U+2AA2E 	𪨮
U+2AA2F 	𪨯
U+2AA30 	𪨰
U+2AA31 	𪨱
U+2AA32 	𪨲
U+2AA33 	𪨳
U+2AA34 	𪨴
U+2AA35 	𪨵
U+2AA36 	𪨶
U+2AA37 	𪨷
U+2AA38 	𪨸
U+2AA39 	𪨹
U+2AA3A 	𪨺
U+2AA3B 	𪨻
U+2AA3C 	𪨼
U+2AA3D 	𪨽
U+2AA3E 	𪨾
U+2AA3F 	𪨿
U+2AA40 	𪩀
U+2AA41 	𪩁
U+2AA42 	𪩂
U+2AA43 	𪩃
U+2AA44 	𪩄
U+2AA45 	𪩅
U+2AA46 	𪩆
U+2AA47 	𪩇
U+2AA48 	𪩈
U+2AA49 	𪩉
U+2AA4A 	𪩊
U+2AA4B 	𪩋
U+2AA4C 	𪩌
U+2AA4D 	𪩍
U+2AA4E 	𪩎
U+2AA4F 	𪩏
U+2AA50 	𪩐
U+2AA51 	𪩑
U+2AA52 	𪩒
U+2AA53 	𪩓
U+2AA54 	𪩔
U+2AA55 	𪩕
U+2AA56 	𪩖
U+2AA57 	𪩗
U+2AA58 	𪩘
U+2AA59 	𪩙
U+2AA5A 	𪩚
U+2AA5B 	𪩛
U+2AA5C 	𪩜
U+2AA5D 	𪩝
U+2AA5E 	𪩞
U+2AA5F 	𪩟
U+2AA60 	𪩠
U+2AA61 	𪩡
U+2AA62 	𪩢
U+2AA63 	𪩣
U+2AA64 	𪩤
U+2AA65 	𪩥
U+2AA66 	𪩦
U+2AA67 	𪩧
U+2AA68 	𪩨
U+2AA69 	𪩩
U+2AA6A 	𪩪
U+2AA6B 	𪩫
U+2AA6C 	𪩬
U+2AA6D 	𪩭
U+2AA6E 	𪩮
U+2AA6F 	𪩯
U+2AA70 	𪩰
U+2AA71 	𪩱
U+2AA72 	𪩲
U+2AA73 	𪩳
U+2AA74 	𪩴
U+2AA75 	𪩵
U+2AA76 	𪩶
U+2AA77 	𪩷
U+2AA78 	𪩸
U+2AA79 	𪩹
U+2AA7A 	𪩺
U+2AA7B 	𪩻
U+2AA7C 	𪩼
U+2AA7D 	𪩽
U+2AA7E 	𪩾
U+2AA7F 	𪩿
U+2AA80 	𪪀
U+2AA81 	𪪁
U+2AA82 	𪪂
U+2AA83 	𪪃
U+2AA84 	𪪄
U+2AA85 	𪪅
U+2AA86 	𪪆
U+2AA87 	𪪇
U+2AA88 	𪪈
U+2AA89 	𪪉
U+2AA8A 	𪪊
U+2AA8B 	𪪋
U+2AA8C 	𪪌
U+2AA8D 	𪪍
U+2AA8E 	𪪎
U+2AA8F 	𪪏
U+2AA90 	𪪐
U+2AA91 	𪪑
U+2AA92 	𪪒
U+2AA93 	𪪓
U+2AA94 	𪪔
U+2AA95 	𪪕
U+2AA96 	𪪖
U+2AA97 	𪪗
U+2AA98 	𪪘
U+2AA99 	𪪙
U+2AA9A 	𪪚
U+2AA9B 	𪪛
U+2AA9C 	𪪜
U+2AA9D 	𪪝
U+2AA9E 	𪪞
U+2AA9F 	𪪟
U+2AAA0 	𪪠
U+2AAA1 	𪪡
U+2AAA2 	𪪢
U+2AAA3 	𪪣
U+2AAA4 	𪪤
U+2AAA5 	𪪥
U+2AAA6 	𪪦
U+2AAA7 	𪪧
U+2AAA8 	𪪨
U+2AAA9 	𪪩
U+2AAAA 	𪪪
U+2AAAB 	𪪫
U+2AAAC 	𪪬
U+2AAAD 	𪪭
U+2AAAE 	𪪮
U+2AAAF 	𪪯
U+2AAB0 	𪪰
U+2AAB1 	𪪱
U+2AAB2 	𪪲
U+2AAB3 	𪪳
U+2AAB4 	𪪴
U+2AAB5 	𪪵
U+2AAB6 	𪪶
U+2AAB7 	𪪷
U+2AAB8 	𪪸
U+2AAB9 	𪪹
U+2AABA 	𪪺
U+2AABB 	𪪻
U+2AABC 	𪪼
U+2AABD 	𪪽
U+2AABE 	𪪾
U+2AABF 	𪪿
U+2AAC0 	𪫀
U+2AAC1 	𪫁
U+2AAC2 	𪫂
U+2AAC3 	𪫃
U+2AAC4 	𪫄
U+2AAC5 	𪫅
U+2AAC6 	𪫆
U+2AAC7 	𪫇
U+2AAC8 	𪫈
U+2AAC9 	𪫉
U+2AACA 	𪫊
U+2AACB 	𪫋
U+2AACC 	𪫌
U+2AACD 	𪫍
U+2AACE 	𪫎
U+2AACF 	𪫏
U+2AAD0 	𪫐
U+2AAD1 	𪫑
U+2AAD2 	𪫒
U+2AAD3 	𪫓
U+2AAD4 	𪫔
U+2AAD5 	𪫕
U+2AAD6 	𪫖
U+2AAD7 	𪫗
U+2AAD8 	𪫘
U+2AAD9 	𪫙
U+2AADA 	𪫚
U+2AADB 	𪫛
U+2AADC 	𪫜
U+2AADD 	𪫝
U+2AADE 	𪫞
U+2AADF 	𪫟
U+2AAE0 	𪫠
U+2AAE1 	𪫡
U+2AAE2 	𪫢
U+2AAE3 	𪫣
U+2AAE4 	𪫤
U+2AAE5 	𪫥
U+2AAE6 	𪫦
U+2AAE7 	𪫧
U+2AAE8 	𪫨
U+2AAE9 	𪫩
U+2AAEA 	𪫪
U+2AAEB 	𪫫
U+2AAEC 	𪫬
U+2AAED 	𪫭
U+2AAEE 	𪫮
U+2AAEF 	𪫯
U+2AAF0 	𪫰
U+2AAF1 	𪫱
U+2AAF2 	𪫲
U+2AAF3 	𪫳
U+2AAF4 	𪫴
U+2AAF5 	𪫵
U+2AAF6 	𪫶
U+2AAF7 	𪫷
U+2AAF8 	𪫸
U+2AAF9 	𪫹
U+2AAFA 	𪫺
U+2AAFB 	𪫻
U+2AAFC 	𪫼
U+2AAFD 	𪫽
U+2AAFE 	𪫾
U+2AAFF 	𪫿
U+2AB00 	𪬀
U+2AB01 	𪬁
U+2AB02 	𪬂
U+2AB03 	𪬃
U+2AB04 	𪬄
U+2AB05 	𪬅
U+2AB06 	𪬆
U+2AB07 	𪬇
U+2AB08 	𪬈
U+2AB09 	𪬉
U+2AB0A 	𪬊
U+2AB0B 	𪬋
U+2AB0C 	𪬌
U+2AB0D 	𪬍
U+2AB0E 	𪬎
U+2AB0F 	𪬏
U+2AB10 	𪬐
U+2AB11 	𪬑
U+2AB12 	𪬒
U+2AB13 	𪬓
U+2AB14 	𪬔
U+2AB15 	𪬕
U+2AB16 	𪬖
U+2AB17 	𪬗
U+2AB18 	𪬘
U+2AB19 	𪬙
U+2AB1A 	𪬚
U+2AB1B 	𪬛
U+2AB1C 	𪬜
U+2AB1D 	𪬝
U+2AB1E 	𪬞
U+2AB1F 	𪬟
U+2AB20 	𪬠
U+2AB21 	𪬡
U+2AB22 	𪬢
U+2AB23 	𪬣
U+2AB24 	𪬤
U+2AB25 	𪬥
U+2AB26 	𪬦
U+2AB27 	𪬧
U+2AB28 	𪬨
U+2AB29 	𪬩
