U+3279F	𲞟
U+327A0	𲞠
U+327A1	𲞡
U+327A2	𲞢
U+327A3	𲞣
U+327A4	𲞤
U+327A5	𲞥
U+327A6	𲞦
U+327A7	𲞧
U+327A8	𲞨
U+327A9	𲞩
U+327AA	𲞪
U+327AB	𲞫
U+327AC	𲞬
U+327AD	𲞭
U+327AE	𲞮
U+327AF	𲞯
U+327B0	𲞰
U+327B1	𲞱
U+327B2	𲞲
U+327B3	𲞳
U+327B4	𲞴
U+327B5	𲞵
U+327B6	𲞶
U+327B7	𲞷
U+327B8	𲞸
U+327B9	𲞹
U+327BA	𲞺
U+327BB	𲞻
U+327BC	𲞼
U+327BD	𲞽
U+327BE	𲞾
U+327BF	𲞿
U+327C0	𲟀
U+327C1	𲟁
U+327C2	𲟂
U+327C3	𲟃
U+327C4	𲟄
U+327C5	𲟅
U+327C6	𲟆
U+327C7	𲟇
U+327C8	𲟈
U+327C9	𲟉
U+327CA	𲟊
U+327CB	𲟋
U+327CC	𲟌
U+327CD	𲟍
U+327CE	𲟎
U+327CF	𲟏
U+327D0	𲟐
U+327D1	𲟑
U+327D2	𲟒
U+327D3	𲟓
U+327D4	𲟔
U+327D5	𲟕
U+327D6	𲟖
U+327D7	𲟗
U+327D8	𲟘
U+327D9	𲟙
U+327DA	𲟚
U+327DB	𲟛
U+327DC	𲟜
U+327DD	𲟝
U+327DE	𲟞
U+327DF	𲟟
U+327E0	𲟠
U+327E1	𲟡
U+327E2	𲟢
U+327E3	𲟣
U+327E4	𲟤
U+327E5	𲟥
U+327E6	𲟦
U+327E7	𲟧
U+327E8	𲟨
U+327E9	𲟩
U+327EA	𲟪
U+327EB	𲟫
U+327EC	𲟬
U+327ED	𲟭
U+327EE	𲟮
U+327EF	𲟯
U+327F0	𲟰
U+327F1	𲟱
U+327F2	𲟲
U+327F3	𲟳
U+327F4	𲟴
U+327F5	𲟵
U+327F6	𲟶
U+327F7	𲟷
U+327F8	𲟸
U+327F9	𲟹
U+327FA	𲟺
U+327FB	𲟻
U+327FC	𲟼
U+327FD	𲟽
U+327FE	𲟾
U+327FF	𲟿
U+32800	𲠀
U+32801	𲠁
U+32802	𲠂
U+32803	𲠃
U+32804	𲠄
U+32805	𲠅
U+32806	𲠆
U+32807	𲠇
U+32808	𲠈
U+32809	𲠉
U+3280A	𲠊
U+3280B	𲠋
U+3280C	𲠌
U+3280D	𲠍
U+3280E	𲠎
U+3280F	𲠏
U+32810	𲠐
U+32811	𲠑
U+32812	𲠒
U+32813	𲠓
U+32814	𲠔
U+32815	𲠕
U+32816	𲠖
U+32817	𲠗
U+32818	𲠘
U+32819	𲠙
U+3281A	𲠚
U+3281B	𲠛
U+3281C	𲠜
U+3281D	𲠝
U+3281E	𲠞
U+3281F	𲠟
U+32820	𲠠
U+32821	𲠡
U+32822	𲠢
U+32823	𲠣
U+32824	𲠤
U+32825	𲠥
U+32826	𲠦
U+32827	𲠧
U+32828	𲠨
U+32829	𲠩
U+3282A	𲠪
U+3282B	𲠫
U+3282C	𲠬
U+3282D	𲠭
U+3282E	𲠮
U+3282F	𲠯
U+32830	𲠰
U+32831	𲠱
U+32832	𲠲
U+32833	𲠳
U+32834	𲠴
U+32835	𲠵
U+32836	𲠶
U+32837	𲠷
U+32838	𲠸
U+32839	𲠹
U+3283A	𲠺
U+3283B	𲠻
U+3283C	𲠼
U+3283D	𲠽
U+3283E	𲠾
U+3283F	𲠿
U+32840	𲡀
U+32841	𲡁
U+32842	𲡂
U+32843	𲡃
U+32844	𲡄
U+32845	𲡅
U+32846	𲡆
U+32847	𲡇
U+32848	𲡈
U+32849	𲡉
U+3284A	𲡊
U+3284B	𲡋
U+3284C	𲡌
U+3284D	𲡍
U+3284E	𲡎
U+3284F	𲡏
U+32850	𲡐
U+32851	𲡑
U+32852	𲡒
U+32853	𲡓
U+32854	𲡔
U+32855	𲡕
U+32856	𲡖
U+32857	𲡗
U+32858	𲡘
U+32859	𲡙
U+3285A	𲡚
U+3285B	𲡛
U+3285C	𲡜
U+3285D	𲡝
U+3285E	𲡞
U+3285F	𲡟
U+32860	𲡠
U+32861	𲡡
U+32862	𲡢
U+32863	𲡣
U+32864	𲡤
U+32865	𲡥
U+32866	𲡦
U+32867	𲡧
U+32868	𲡨
U+32869	𲡩
U+3286A	𲡪
U+3286B	𲡫
U+3286C	𲡬
U+3286D	𲡭
U+3286E	𲡮
U+3286F	𲡯
U+32870	𲡰
U+32871	𲡱
U+32872	𲡲
U+32873	𲡳
U+32874	𲡴
U+32875	𲡵
U+32876	𲡶
U+32877	𲡷
U+32878	𲡸
U+32879	𲡹
U+3287A	𲡺
U+3287B	𲡻
U+3287C	𲡼
U+3287D	𲡽
U+3287E	𲡾
U+3287F	𲡿
U+32880	𲢀
U+32881	𲢁
U+32882	𲢂
U+32883	𲢃
U+32884	𲢄
U+32885	𲢅
U+32886	𲢆
U+32887	𲢇
U+32888	𲢈
U+32889	𲢉
U+3288A	𲢊
U+3288B	𲢋
U+3288C	𲢌
U+3288D	𲢍
U+3288E	𲢎
U+3288F	𲢏
U+32890	𲢐
U+32891	𲢑
U+32892	𲢒
U+32893	𲢓
U+32894	𲢔
U+32895	𲢕
U+32896	𲢖
U+32897	𲢗
U+32898	𲢘
U+32899	𲢙
U+3289A	𲢚
U+3289B	𲢛
U+3289C	𲢜
U+3289D	𲢝
U+3289E	𲢞
U+3289F	𲢟
U+328A0	𲢠
U+328A1	𲢡
U+328A2	𲢢
U+328A3	𲢣
U+328A4	𲢤
U+328A5	𲢥
U+328A6	𲢦
U+328A7	𲢧
U+328A8	𲢨
U+328A9	𲢩
U+328AA	𲢪
U+328AB	𲢫
U+328AC	𲢬
U+328AD	𲢭
U+328AE	𲢮
U+328AF	𲢯
U+328B0	𲢰
U+328B1	𲢱
U+328B2	𲢲
U+328B3	𲢳
U+328B4	𲢴
U+328B5	𲢵
U+328B6	𲢶
U+328B7	𲢷
U+328B8	𲢸
U+328B9	𲢹
U+328BA	𲢺
U+328BB	𲢻
U+328BC	𲢼
U+328BD	𲢽
U+328BE	𲢾
U+328BF	𲢿
U+328C0	𲣀
U+328C1	𲣁
U+328C2	𲣂
U+328C3	𲣃
U+328C4	𲣄
U+328C5	𲣅
U+328C6	𲣆
U+328C7	𲣇
U+328C8	𲣈
U+328C9	𲣉
U+328CA	𲣊
U+328CB	𲣋
U+328CC	𲣌
U+328CD	𲣍
U+328CE	𲣎
U+328CF	𲣏
U+328D0	𲣐
U+328D1	𲣑
U+328D2	𲣒
U+328D3	𲣓
U+328D4	𲣔
U+328D5	𲣕
