U+2BB9E 	𫮞
U+2BB9F 	𫮟
U+2BBA0 	𫮠
U+2BBA1 	𫮡
U+2BBA2 	𫮢
U+2BBA3 	𫮣
U+2BBA4 	𫮤
U+2BBA5 	𫮥
U+2BBA6 	𫮦
U+2BBA7 	𫮧
U+2BBA8 	𫮨
U+2BBA9 	𫮩
U+2BBAA 	𫮪
U+2BBAB 	𫮫
U+2BBAC 	𫮬
U+2BBAD 	𫮭
U+2BBAE 	𫮮
U+2BBAF 	𫮯
U+2BBB0 	𫮰
U+2BBB1 	𫮱
U+2BBB2 	𫮲
U+2BBB3 	𫮳
U+2BBB4 	𫮴
U+2BBB5 	𫮵
U+2BBB6 	𫮶
U+2BBB7 	𫮷
U+2BBB8 	𫮸
U+2BBB9 	𫮹
U+2BBBA 	𫮺
U+2BBBB 	𫮻
U+2BBBC 	𫮼
U+2BBBD 	𫮽
U+2BBBE 	𫮾
U+2BBBF 	𫮿
U+2BBC0 	𫯀
U+2BBC1 	𫯁
U+2BBC2 	𫯂
U+2BBC3 	𫯃
U+2BBC4 	𫯄
U+2BBC5 	𫯅
U+2BBC6 	𫯆
U+2BBC7 	𫯇
U+2BBC8 	𫯈
U+2BBC9 	𫯉
U+2BBCA 	𫯊
U+2BBCB 	𫯋
U+2BBCC 	𫯌
U+2BBCD 	𫯍
U+2BBCE 	𫯎
U+2BBCF 	𫯏
U+2BBD0 	𫯐
U+2BBD1 	𫯑
U+2BBD2 	𫯒
U+2BBD3 	𫯓
U+2BBD4 	𫯔
U+2BBD5 	𫯕
U+2BBD6 	𫯖
U+2BBD7 	𫯗
U+2BBD8 	𫯘
U+2BBD9 	𫯙
U+2BBDA 	𫯚
U+2BBDB 	𫯛
U+2BBDC 	𫯜
U+2BBDD 	𫯝
U+2BBDE 	𫯞
U+2BBDF 	𫯟
U+2BBE0 	𫯠
U+2BBE1 	𫯡
U+2BBE2 	𫯢
U+2BBE3 	𫯣
U+2BBE4 	𫯤
U+2BBE5 	𫯥
U+2BBE6 	𫯦
U+2BBE7 	𫯧
U+2BBE8 	𫯨
U+2BBE9 	𫯩
U+2BBEA 	𫯪
U+2BBEB 	𫯫
U+2BBEC 	𫯬
U+2BBED 	𫯭
U+2BBEE 	𫯮
U+2BBEF 	𫯯
U+2BBF0 	𫯰
U+2BBF1 	𫯱
U+2BBF2 	𫯲
U+2BBF3 	𫯳
U+2BBF4 	𫯴
U+2BBF5 	𫯵
U+2BBF6 	𫯶
U+2BBF7 	𫯷
U+2BBF8 	𫯸
U+2BBF9 	𫯹
U+2BBFA 	𫯺
U+2BBFB 	𫯻
U+2BBFC 	𫯼
U+2BBFD 	𫯽
U+2BBFE 	𫯾
U+2BBFF 	𫯿
U+2BC00 	𫰀
U+2BC01 	𫰁
U+2BC02 	𫰂
U+2BC03 	𫰃
U+2BC04 	𫰄
U+2BC05 	𫰅
U+2BC06 	𫰆
U+2BC07 	𫰇
U+2BC08 	𫰈
U+2BC09 	𫰉
U+2BC0A 	𫰊
U+2BC0B 	𫰋
U+2BC0C 	𫰌
U+2BC0D 	𫰍
U+2BC0E 	𫰎
U+2BC0F 	𫰏
U+2BC10 	𫰐
U+2BC11 	𫰑
U+2BC12 	𫰒
U+2BC13 	𫰓
U+2BC14 	𫰔
U+2BC15 	𫰕
U+2BC16 	𫰖
U+2BC17 	𫰗
U+2BC18 	𫰘
U+2BC19 	𫰙
U+2BC1A 	𫰚
U+2BC1B 	𫰛
U+2BC1C 	𫰜
U+2BC1D 	𫰝
U+2BC1E 	𫰞
U+2BC1F 	𫰟
U+2BC20 	𫰠
U+2BC21 	𫰡
U+2BC22 	𫰢
U+2BC23 	𫰣
U+2BC24 	𫰤
U+2BC25 	𫰥
U+2BC26 	𫰦
U+2BC27 	𫰧
