U+2D111 	𭄑
U+2D112 	𭄒
U+2D113 	𭄓
U+2D114 	𭄔
U+2D115 	𭄕
U+2D116 	𭄖
U+2D117 	𭄗
U+2D118 	𭄘
U+2D119 	𭄙
U+2D11A 	𭄚
U+2D11B 	𭄛
U+2D11C 	𭄜
U+2D11D 	𭄝
U+2D11E 	𭄞
U+2D11F 	𭄟
U+2D120 	𭄠
U+2D121 	𭄡
U+2D122 	𭄢
U+2D123 	𭄣
U+2D124 	𭄤
U+2D125 	𭄥
U+2D126 	𭄦
U+2D127 	𭄧
U+2D128 	𭄨
U+2D129 	𭄩
U+2D12A 	𭄪
U+2D12B 	𭄫
U+2D12C 	𭄬
U+2D12D 	𭄭
U+2D12E 	𭄮
U+2D12F 	𭄯
U+2D130 	𭄰
U+2D131 	𭄱
U+2D132 	𭄲
U+2D133 	𭄳
U+2D134 	𭄴
U+2D135 	𭄵
U+2D136 	𭄶
U+2D137 	𭄷
U+2D138 	𭄸
U+2D139 	𭄹
U+2D13A 	𭄺
U+2D13B 	𭄻
U+2D13C 	𭄼
U+2D13D 	𭄽
U+2D13E 	𭄾
U+2D13F 	𭄿
U+2D140 	𭅀
U+2D141 	𭅁
U+2D142 	𭅂
U+2D143 	𭅃
U+2D144 	𭅄
U+2D145 	𭅅
U+2D146 	𭅆
U+2D147 	𭅇
U+2D148 	𭅈
U+2D149 	𭅉
U+2D14A 	𭅊
U+2D14B 	𭅋
U+2D14C 	𭅌
U+2D14D 	𭅍
U+2D14E 	𭅎
U+2D14F 	𭅏
U+2D150 	𭅐
U+2D151 	𭅑
U+2D152 	𭅒
U+2D153 	𭅓
U+2D154 	𭅔
U+2D155 	𭅕
U+2D156 	𭅖
U+2D157 	𭅗
U+2D158 	𭅘
U+2D159 	𭅙
U+2D15A 	𭅚
U+2D15B 	𭅛
U+2D15C 	𭅜
U+2D15D 	𭅝
U+2D15E 	𭅞
U+2D15F 	𭅟
U+2D160 	𭅠
U+2D161 	𭅡
U+2D162 	𭅢
U+2D163 	𭅣
U+2D164 	𭅤
U+2D165 	𭅥
U+2D166 	𭅦
U+2D167 	𭅧
U+2D168 	𭅨
U+2D169 	𭅩
U+2D16A 	𭅪
U+2D16B 	𭅫
U+2D16C 	𭅬
U+2D16D 	𭅭
U+2D16E 	𭅮
U+2D16F 	𭅯
U+2D170 	𭅰
U+2D171 	𭅱
U+2D172 	𭅲
U+2D173 	𭅳
U+2D174 	𭅴
U+2D175 	𭅵
U+2D176 	𭅶
U+2D177 	𭅷
U+2D178 	𭅸
U+2D179 	𭅹
U+2D17A 	𭅺
U+2D17B 	𭅻
U+2D17C 	𭅼
U+2D17D 	𭅽
U+2D17E 	𭅾
U+2D17F 	𭅿
U+2D180 	𭆀
U+2D181 	𭆁
U+2D182 	𭆂
U+2D183 	𭆃
U+2D184 	𭆄
U+2D185 	𭆅
U+2D186 	𭆆
U+2D187 	𭆇
U+2D188 	𭆈
U+2D189 	𭆉
U+2D18A 	𭆊
U+2D18B 	𭆋
U+2D18C 	𭆌
U+2D18D 	𭆍
U+2D18E 	𭆎
U+2D18F 	𭆏
U+2D190 	𭆐
U+2D191 	𭆑
U+2D192 	𭆒
U+2D193 	𭆓
U+2D194 	𭆔
U+2D195 	𭆕
U+2D196 	𭆖
U+2D197 	𭆗
U+2D198 	𭆘
U+2D199 	𭆙
U+2D19A 	𭆚
U+2D19B 	𭆛
U+2D19C 	𭆜
U+2D19D 	𭆝
U+2D19E 	𭆞
U+2D19F 	𭆟
U+2D1A0 	𭆠
U+2D1A1 	𭆡
U+2D1A2 	𭆢
U+2D1A3 	𭆣
U+2D1A4 	𭆤
U+2D1A5 	𭆥
U+2D1A6 	𭆦
U+2D1A7 	𭆧
U+2D1A8 	𭆨
U+2D1A9 	𭆩
U+2D1AA 	𭆪
U+2D1AB 	𭆫
U+2D1AC 	𭆬
U+2D1AD 	𭆭
U+2D1AE 	𭆮
U+2D1AF 	𭆯
U+2D1B0 	𭆰
U+2D1B1 	𭆱
U+2D1B2 	𭆲
U+2D1B3 	𭆳
U+2D1B4 	𭆴
U+2D1B5 	𭆵
U+2D1B6 	𭆶
U+2D1B7 	𭆷
U+2D1B8 	𭆸
U+2D1B9 	𭆹
U+2D1BA 	𭆺
U+2D1BB 	𭆻
U+2D1BC 	𭆼
U+2D1BD 	𭆽
U+2D1BE 	𭆾
U+2D1BF 	𭆿
U+2D1C0 	𭇀
U+2D1C1 	𭇁
U+2D1C2 	𭇂
U+2D1C3 	𭇃
U+2D1C4 	𭇄
U+2D1C5 	𭇅
U+2D1C6 	𭇆
U+2D1C7 	𭇇
U+2D1C8 	𭇈
U+2D1C9 	𭇉
U+2D1CA 	𭇊
U+2D1CB 	𭇋
U+2D1CC 	𭇌
U+2D1CD 	𭇍
U+2D1CE 	𭇎
U+2D1CF 	𭇏
U+2D1D0 	𭇐
U+2D1D1 	𭇑
U+2D1D2 	𭇒
U+2D1D3 	𭇓
U+2D1D4 	𭇔
U+2D1D5 	𭇕
U+2D1D6 	𭇖
U+2D1D7 	𭇗
U+2D1D8 	𭇘
U+2D1D9 	𭇙
U+2D1DA 	𭇚
U+2D1DB 	𭇛
U+2D1DC 	𭇜
U+2D1DD 	𭇝
U+2D1DE 	𭇞
U+2D1DF 	𭇟
U+2D1E0 	𭇠
U+2D1E1 	𭇡
U+2D1E2 	𭇢
U+2D1E3 	𭇣
U+2D1E4 	𭇤
U+2D1E5 	𭇥
U+2D1E6 	𭇦
U+2D1E7 	𭇧
U+2D1E8 	𭇨
U+2D1E9 	𭇩
U+2D1EA 	𭇪
U+2D1EB 	𭇫
U+2D1EC 	𭇬
U+2D1ED 	𭇭
U+2D1EE 	𭇮
U+2D1EF 	𭇯
U+2D1F0 	𭇰
U+2D1F1 	𭇱
U+2D1F2 	𭇲
U+2D1F3 	𭇳
U+2D1F4 	𭇴
U+2D1F5 	𭇵
U+2D1F6 	𭇶
U+2D1F7 	𭇷
U+2D1F8 	𭇸
U+2D1F9 	𭇹
U+2D1FA 	𭇺
U+2D1FB 	𭇻
U+2D1FC 	𭇼
U+2D1FD 	𭇽
U+2D1FE 	𭇾
U+2D1FF 	𭇿
U+2D200 	𭈀
U+2D201 	𭈁
U+2D202 	𭈂
U+2D203 	𭈃
U+2D204 	𭈄
U+2D205 	𭈅
U+2D206 	𭈆
U+2D207 	𭈇
U+2D208 	𭈈
U+2D209 	𭈉
